Checkouts,Temp,Humidity,Rain_Intensity,Rain_Total,Hour,DOY,Weekday,Cubs_Game
143,21.9,47,0,47.8,8,155,FRIDAY,D
65,21.4,71,0,317,21,258,WEDNESDAY,X
2,20.2,57,0,328.5,1,270,MONDAY,X
1,-2.3,69,0,6.3,5,2,SATURDAY,X
21,6.5,95,0,49,12,75,TUESDAY,X
4,4.4,96,0,55.9,0,84,THURSDAY,X
60,23.5,65,0,315.9,21,253,FRIDAY,X
5,-3.2,67,0,6.3,1,1,FRIDAY,X
83,19.7,87,0,133.9,14,197,FRIDAY,D
17,5,88,0,55.8,15,83,WEDNESDAY,X
0,-8.7,61,0,6.8,2,41,WEDNESDAY,X
60,28.7,23,0,49.1,13,158,MONDAY,X
29,20.3,68,0,317,5,260,FRIDAY,D
149,23.3,70,0,400.2,7,292,TUESDAY,X
42,-0.5,73,0,43.2,17,22,FRIDAY,X
84,5.9,90,0,20.5,18,120,FRIDAY,D
73,5.6,92,0,49,7,75,TUESDAY,X
45,26.3,61,0,194.6,22,208,TUESDAY,X
0,7.1,83,0,34.8,3,70,THURSDAY,X
16,8.5,68,0,44.4,21,30,SATURDAY,X
41,6.8,90,0,20.5,20,119,THURSDAY,D
13,1.1,53,0,44.4,15,27,WEDNESDAY,X
94,24.3,55,0,315.9,19,253,FRIDAY,X
17,6.5,91,0,14.1,10,118,WEDNESDAY,X
158,22.7,68,0,328.4,18,265,WEDNESDAY,N
66,29.4,64,0,239.3,13,231,THURSDAY,D
144,25,75,0,201.3,7,218,FRIDAY,X
43,4.8,74,0,70.7,9,336,THURSDAY,X
78,10.4,72,0,5.4,11,87,SUNDAY,X
48,11.4,57,0,402.4,12,299,TUESDAY,X
3,9.3,54,0,9.6,4,90,WEDNESDAY,X
29,10.2,48,0,3.5,12,102,MONDAY,N
151,24.4,76,0,117.6,7,189,THURSDAY,N
38,11.1,36,0,55.8,11,77,THURSDAY,X
49,2.6,84,0,14.7,18,54,TUESDAY,X
